ip,ip_num,port,proto,length,is_malicious
192.168.1.224,3232236000,443,6,668,0
192.168.1.127,3232235903,22,6,1078,0
192.168.1.203,3232235979,22,6,555,0
192.168.1.184,3232235960,80,6,996,0
10.10.10.90,168430170,3389,6,481,1
10.10.10.88,168430168,3389,6,1296,1
192.168.1.47,3232235823,22,6,1123,0
192.168.1.23,3232235799,80,6,584,0
192.168.1.21,3232235797,80,6,529,0
10.10.10.80,168430160,3389,6,1132,1
192.168.1.44,3232235820,443,6,1184,0
10.10.10.238,168430318,22,6,297,1
192.168.1.41,3232235817,22,6,1362,0
192.168.1.15,3232235791,22,6,691,0
10.10.10.197,168430277,5900,6,1172,1
192.168.1.88,3232235864,80,6,1270,0
10.10.10.175,168430255,5900,6,205,1
192.168.1.176,3232235952,53,17,398,0
192.168.1.144,3232235920,80,6,1423,0
192.168.1.200,3232235976,443,6,396,0
192.168.1.6,3232235782,443,6,1214,0
192.168.1.74,3232235850,53,17,275,0
192.168.1.77,3232235853,80,6,844,0
192.168.1.208,3232235984,53,17,420,0
192.168.1.58,3232235834,443,6,1110,0
10.10.10.29,168430109,5900,6,1358,1
10.10.10.84,168430164,5900,6,570,1
10.10.10.240,168430320,5900,6,342,1
192.168.1.51,3232235827,53,17,935,0
10.10.10.212,168430292,3389,6,682,1
192.168.1.70,3232235846,80,6,541,0
192.168.1.11,3232235787,53,17,1210,0
192.168.1.181,3232235957,443,6,699,0
192.168.1.31,3232235807,53,17,1307,0
192.168.1.29,3232235805,22,6,619,0
192.168.1.124,3232235900,80,6,1441,0
10.10.10.254,168430334,3389,6,218,1
192.168.1.16,3232235792,53,17,810,0
192.168.1.8,3232235784,443,6,93,0
192.168.1.79,3232235855,53,17,192,0
192.168.1.227,3232236003,53,17,1200,0
192.168.1.193,3232235969,80,6,1365,0
192.168.1.156,3232235932,53,17,300,0
192.168.1.86,3232235862,80,6,1183,0
192.168.1.3,3232235779,53,17,673,0
192.168.1.12,3232235788,53,17,641,0
10.10.10.162,168430242,5900,6,1236,1
192.168.1.161,3232235937,80,6,1134,0
192.168.1.158,3232235934,53,17,298,0
192.168.1.240,3232236016,22,6,1178,0
192.168.1.30,3232235806,53,17,1183,0
192.168.1.208,3232235984,443,6,70,0
192.168.1.194,3232235970,443,6,90,0
192.168.1.189,3232235965,80,6,940,0
192.168.1.51,3232235827,22,6,1309,0
10.10.10.199,168430279,5900,6,652,1
192.168.1.177,3232235953,80,6,631,0
192.168.1.52,3232235828,80,6,1001,0
192.168.1.224,3232236000,80,6,354,0
10.10.10.142,168430222,22,6,883,1
192.168.1.209,3232235985,443,6,1258,0
10.10.10.77,168430157,23,6,188,1
192.168.1.128,3232235904,53,17,665,0
192.168.1.147,3232235923,80,6,1214,0
10.10.10.218,168430298,22,6,651,1
192.168.1.198,3232235974,80,6,262,0
10.10.10.48,168430128,22,6,452,1
192.168.1.3,3232235779,53,17,624,0
10.10.10.117,168430197,5900,6,465,1
192.168.1.193,3232235969,53,17,1009,0
192.168.1.238,3232236014,53,17,949,0
192.168.1.231,3232236007,443,6,364,0
192.168.1.80,3232235856,80,6,1142,0
10.10.10.43,168430123,23,6,919,1
192.168.1.67,3232235843,53,17,991,0
192.168.1.250,3232236026,80,6,991,0
192.168.1.87,3232235863,80,6,830,0
192.168.1.104,3232235880,22,6,965,0
192.168.1.90,3232235866,443,6,612,0
192.168.1.206,3232235982,443,6,1022,0
192.168.1.167,3232235943,22,6,1164,0
192.168.1.45,3232235821,22,6,376,0
192.168.1.211,3232235987,443,6,825,0
192.168.1.149,3232235925,80,6,656,0
10.10.10.177,168430257,22,6,245,1
192.168.1.224,3232236000,53,17,1018,0
10.10.10.57,168430137,22,6,1455,1
192.168.1.95,3232235871,443,6,365,0
10.10.10.199,168430279,23,6,516,1
10.10.10.185,168430265,23,6,846,1
192.168.1.154,3232235930,53,17,1127,0
192.168.1.211,3232235987,443,6,151,0
192.168.1.102,3232235878,80,6,446,0
192.168.1.9,3232235785,22,6,1369,0
192.168.1.214,3232235990,22,6,514,0
192.168.1.171,3232235947,53,17,785,0
192.168.1.209,3232235985,443,6,823,0
192.168.1.154,3232235930,53,17,1316,0
192.168.1.114,3232235890,80,6,823,0
192.168.1.236,3232236012,53,17,1365,0
192.168.1.47,3232235823,80,6,589,0
192.168.1.163,3232235939,53,17,102,0
192.168.1.224,3232236000,443,6,937,0
192.168.1.103,3232235879,443,6,1404,0
192.168.1.5,3232235781,443,6,370,0
192.168.1.14,3232235790,443,6,815,0
192.168.1.234,3232236010,443,6,1139,0
192.168.1.61,3232235837,80,6,1128,0
192.168.1.14,3232235790,80,6,805,0
192.168.1.239,3232236015,443,6,182,0
192.168.1.26,3232235802,443,6,531,0
192.168.1.139,3232235915,22,6,457,0
10.10.10.138,168430218,3389,6,652,1
192.168.1.217,3232235993,53,17,410,0
192.168.1.154,3232235930,80,6,1240,0
10.10.10.249,168430329,23,6,140,1
192.168.1.194,3232235970,53,17,659,0
192.168.1.118,3232235894,22,6,333,0
10.10.10.249,168430329,23,6,378,1
192.168.1.248,3232236024,80,6,1037,0
192.168.1.54,3232235830,443,6,304,0
192.168.1.49,3232235825,22,6,777,0
192.168.1.183,3232235959,443,6,1346,0
192.168.1.201,3232235977,53,17,261,0
192.168.1.124,3232235900,53,17,112,0
10.10.10.84,168430164,22,6,506,1
192.168.1.185,3232235961,53,17,1107,0
192.168.1.233,3232236009,80,6,847,0
192.168.1.162,3232235938,22,6,1082,0
10.10.10.171,168430251,5900,6,1235,1
10.10.10.131,168430211,3389,6,615,1
192.168.1.167,3232235943,53,17,938,0
10.10.10.73,168430153,5900,6,845,1
10.10.10.182,168430262,22,6,341,1
192.168.1.145,3232235921,53,17,1051,0
192.168.1.183,3232235959,22,6,538,0
192.168.1.163,3232235939,80,6,608,0
10.10.10.172,168430252,3389,6,798,1
192.168.1.234,3232236010,80,6,1052,0
192.168.1.11,3232235787,80,6,303,0
192.168.1.124,3232235900,53,17,138,0
192.168.1.111,3232235887,22,6,1228,0
192.168.1.224,3232236000,22,6,1248,0
192.168.1.52,3232235828,80,6,273,0
192.168.1.166,3232235942,80,6,427,0
192.168.1.239,3232236015,80,6,798,0
192.168.1.118,3232235894,80,6,765,0
192.168.1.17,3232235793,53,17,1186,0
192.168.1.207,3232235983,22,6,890,0
192.168.1.157,3232235933,53,17,1150,0
192.168.1.64,3232235840,53,17,619,0
192.168.1.21,3232235797,22,6,1040,0
192.168.1.17,3232235793,53,17,1436,0
10.10.10.41,168430121,22,6,1050,1
192.168.1.150,3232235926,443,6,1364,0
192.168.1.226,3232236002,80,6,1304,0
192.168.1.163,3232235939,443,6,577,0
192.168.1.254,3232236030,22,6,931,0
192.168.1.41,3232235817,443,6,610,0
192.168.1.90,3232235866,53,17,834,0
192.168.1.37,3232235813,22,6,1040,0
192.168.1.45,3232235821,22,6,762,0
192.168.1.237,3232236013,80,6,623,0
192.168.1.94,3232235870,53,17,98,0
10.10.10.35,168430115,3389,6,135,1
192.168.1.128,3232235904,80,6,1357,0
192.168.1.202,3232235978,22,6,1078,0
192.168.1.110,3232235886,53,17,399,0
192.168.1.15,3232235791,53,17,1120,0
10.10.10.85,168430165,3389,6,502,1
192.168.1.106,3232235882,443,6,334,0
192.168.1.112,3232235888,22,6,718,0
192.168.1.64,3232235840,53,17,1215,0
192.168.1.123,3232235899,80,6,194,0
192.168.1.90,3232235866,80,6,1074,0
10.10.10.122,168430202,23,6,1068,1
10.10.10.184,168430264,23,6,516,1
192.168.1.14,3232235790,53,17,1036,0
192.168.1.139,3232235915,443,6,154,0
192.168.1.210,3232235986,53,17,250,0
192.168.1.164,3232235940,22,6,1194,0
192.168.1.119,3232235895,53,17,1240,0
192.168.1.152,3232235928,22,6,1449,0
192.168.1.155,3232235931,53,17,1190,0
192.168.1.226,3232236002,80,6,308,0
192.168.1.31,3232235807,80,6,107,0
192.168.1.215,3232235991,80,6,318,0
192.168.1.53,3232235829,80,6,1050,0
192.168.1.41,3232235817,80,6,927,0
192.168.1.189,3232235965,443,6,1283,0
10.10.10.191,168430271,23,6,1386,1
192.168.1.157,3232235933,53,17,307,0
192.168.1.190,3232235966,80,6,469,0
192.168.1.178,3232235954,22,6,365,0
192.168.1.233,3232236009,53,17,958,0
192.168.1.229,3232236005,443,6,792,0
192.168.1.13,3232235789,53,17,972,0
192.168.1.55,3232235831,53,17,922,0
192.168.1.106,3232235882,80,6,1132,0
192.168.1.185,3232235961,80,6,757,0
10.10.10.173,168430253,22,6,1084,1
192.168.1.109,3232235885,80,6,91,0
192.168.1.136,3232235912,443,6,803,0
192.168.1.229,3232236005,22,6,920,0
192.168.1.139,3232235915,443,6,677,0
192.168.1.148,3232235924,443,6,1201,0
192.168.1.190,3232235966,22,6,499,0
10.10.10.50,168430130,23,6,1047,1
192.168.1.159,3232235935,443,6,1244,0
192.168.1.45,3232235821,53,17,862,0
192.168.1.163,3232235939,22,6,1270,0
10.10.10.37,168430117,23,6,1216,1
192.168.1.134,3232235910,22,6,682,0
10.10.10.190,168430270,3389,6,1305,1
10.10.10.61,168430141,3389,6,763,1
192.168.1.12,3232235788,22,6,223,0
10.10.10.35,168430115,22,6,1342,1
192.168.1.205,3232235981,53,17,57,0
192.168.1.80,3232235856,22,6,938,0
192.168.1.111,3232235887,443,6,718,0
192.168.1.35,3232235811,22,6,522,0
192.168.1.92,3232235868,443,6,1178,0
192.168.1.42,3232235818,22,6,1260,0
10.10.10.206,168430286,23,6,592,1
192.168.1.248,3232236024,53,17,1087,0
10.10.10.228,168430308,3389,6,945,1
192.168.1.190,3232235966,53,17,975,0
192.168.1.24,3232235800,443,6,818,0
192.168.1.99,3232235875,53,17,372,0
192.168.1.128,3232235904,22,6,1488,0
192.168.1.189,3232235965,443,6,813,0
10.10.10.243,168430323,5900,6,803,1
192.168.1.54,3232235830,443,6,890,0
192.168.1.204,3232235980,53,17,412,0
192.168.1.190,3232235966,443,6,846,0
192.168.1.131,3232235907,443,6,793,0
192.168.1.197,3232235973,80,6,892,0
192.168.1.29,3232235805,22,6,143,0
192.168.1.46,3232235822,443,6,989,0
192.168.1.119,3232235895,22,6,865,0
192.168.1.215,3232235991,22,6,720,0
192.168.1.35,3232235811,80,6,214,0
192.168.1.99,3232235875,53,17,990,0
192.168.1.174,3232235950,80,6,1395,0
10.10.10.132,168430212,5900,6,904,1
192.168.1.17,3232235793,22,6,1098,0
192.168.1.67,3232235843,22,6,1358,0
10.10.10.154,168430234,23,6,147,1
192.168.1.142,3232235918,22,6,985,0
192.168.1.15,3232235791,22,6,973,0
192.168.1.245,3232236021,443,6,1427,0
10.10.10.133,168430213,22,6,825,1
192.168.1.183,3232235959,22,6,670,0
10.10.10.128,168430208,22,6,1132,1
192.168.1.107,3232235883,22,6,1025,0
10.10.10.12,168430092,23,6,412,1
192.168.1.221,3232235997,80,6,771,0
192.168.1.249,3232236025,80,6,1276,0
192.168.1.227,3232236003,443,6,331,0
192.168.1.204,3232235980,22,6,484,0
192.168.1.97,3232235873,443,6,239,0
192.168.1.86,3232235862,80,6,82,0
10.10.10.203,168430283,5900,6,652,1
192.168.1.109,3232235885,443,6,1300,0
10.10.10.5,168430085,23,6,693,1
192.168.1.101,3232235877,80,6,1473,0
192.168.1.153,3232235929,22,6,667,0
192.168.1.139,3232235915,22,6,96,0
192.168.1.7,3232235783,443,6,303,0
192.168.1.147,3232235923,80,6,866,0
192.168.1.136,3232235912,80,6,508,0
192.168.1.193,3232235969,53,17,1194,0
192.168.1.229,3232236005,53,17,918,0
192.168.1.37,3232235813,53,17,793,0
192.168.1.171,3232235947,443,6,405,0
192.168.1.74,3232235850,53,17,358,0
192.168.1.116,3232235892,22,6,1494,0
192.168.1.19,3232235795,53,17,752,0
192.168.1.252,3232236028,80,6,1366,0
192.168.1.76,3232235852,53,17,1215,0
192.168.1.221,3232235997,80,6,404,0
192.168.1.164,3232235940,443,6,373,0
192.168.1.37,3232235813,443,6,113,0
192.168.1.45,3232235821,443,6,572,0
192.168.1.205,3232235981,443,6,269,0
192.168.1.237,3232236013,80,6,1060,0
10.10.10.225,168430305,22,6,186,1
192.168.1.82,3232235858,80,6,932,0
192.168.1.120,3232235896,443,6,833,0
192.168.1.216,3232235992,22,6,622,0
192.168.1.238,3232236014,80,6,529,0
192.168.1.165,3232235941,53,17,202,0
192.168.1.62,3232235838,80,6,1185,0
192.168.1.43,3232235819,53,17,1062,0
10.10.10.160,168430240,5900,6,1231,1
192.168.1.149,3232235925,22,6,916,0
192.168.1.234,3232236010,53,17,820,0
192.168.1.44,3232235820,22,6,70,0
192.168.1.137,3232235913,53,17,623,0
192.168.1.82,3232235858,22,6,909,0
192.168.1.53,3232235829,53,17,634,0
192.168.1.190,3232235966,80,6,508,0
192.168.1.190,3232235966,443,6,1284,0
192.168.1.64,3232235840,443,6,905,0
192.168.1.230,3232236006,53,17,464,0
10.10.10.22,168430102,3389,6,879,1
10.10.10.17,168430097,23,6,459,1
192.168.1.50,3232235826,53,17,1303,0
192.168.1.102,3232235878,443,6,1172,0
192.168.1.131,3232235907,80,6,683,0
192.168.1.239,3232236015,443,6,1119,0
192.168.1.89,3232235865,80,6,830,0
10.10.10.92,168430172,22,6,657,1
192.168.1.119,3232235895,80,6,1290,0
192.168.1.249,3232236025,22,6,50,0
192.168.1.184,3232235960,53,17,937,0
192.168.1.230,3232236006,22,6,1488,0
192.168.1.66,3232235842,443,6,1305,0
192.168.1.89,3232235865,80,6,233,0
192.168.1.131,3232235907,80,6,73,0
192.168.1.36,3232235812,443,6,672,0
192.168.1.221,3232235997,53,17,672,0
192.168.1.100,3232235876,443,6,350,0
192.168.1.95,3232235871,53,17,278,0
192.168.1.160,3232235936,53,17,1204,0
192.168.1.104,3232235880,80,6,1001,0
192.168.1.215,3232235991,53,17,989,0
192.168.1.46,3232235822,443,6,65,0
192.168.1.105,3232235881,443,6,276,0
192.168.1.185,3232235961,22,6,1418,0
192.168.1.119,3232235895,80,6,117,0
192.168.1.104,3232235880,22,6,684,0
192.168.1.198,3232235974,443,6,1102,0
192.168.1.239,3232236015,80,6,552,0
10.10.10.168,168430248,5900,6,1370,1
192.168.1.33,3232235809,22,6,485,0
10.10.10.161,168430241,22,6,1115,1
10.10.10.92,168430172,22,6,809,1
192.168.1.177,3232235953,53,17,1112,0
192.168.1.109,3232235885,53,17,181,0
192.168.1.184,3232235960,443,6,570,0
192.168.1.63,3232235839,53,17,643,0
192.168.1.67,3232235843,22,6,1352,0
10.10.10.149,168430229,3389,6,322,1
10.10.10.230,168430310,22,6,884,1
10.10.10.127,168430207,5900,6,288,1
10.10.10.195,168430275,5900,6,964,1
192.168.1.77,3232235853,22,6,229,0
192.168.1.200,3232235976,80,6,325,0
192.168.1.7,3232235783,22,6,240,0
10.10.10.28,168430108,5900,6,895,1
10.10.10.31,168430111,5900,6,896,1
192.168.1.56,3232235832,53,17,1128,0
192.168.1.210,3232235986,53,17,1370,0
10.10.10.155,168430235,5900,6,264,1
192.168.1.224,3232236000,80,6,743,0
192.168.1.172,3232235948,22,6,669,0
192.168.1.26,3232235802,53,17,773,0
192.168.1.209,3232235985,53,17,1022,0
10.10.10.88,168430168,5900,6,1139,1
192.168.1.100,3232235876,443,6,394,0
10.10.10.171,168430251,23,6,1096,1
192.168.1.161,3232235937,22,6,905,0
192.168.1.59,3232235835,443,6,149,0
192.168.1.253,3232236029,53,17,517,0
10.10.10.197,168430277,5900,6,1106,1
192.168.1.87,3232235863,443,6,706,0
192.168.1.151,3232235927,53,17,1022,0
10.10.10.251,168430331,22,6,1060,1
10.10.10.190,168430270,22,6,749,1
192.168.1.240,3232236016,443,6,98,0
192.168.1.215,3232235991,22,6,708,0
192.168.1.93,3232235869,80,6,1004,0
192.168.1.216,3232235992,443,6,1074,0
192.168.1.208,3232235984,80,6,1436,0
192.168.1.116,3232235892,80,6,1335,0
192.168.1.24,3232235800,443,6,1370,0
192.168.1.150,3232235926,80,6,812,0
